,head_actual,word_count,len_text,end_sym,len_avg_word,no_of_stop,numeric_value,no_of_sym,cos_sim,case
3398,0,2,14,0,7,0,0,1,0,2
3399,0,3,23,0,7,0,0,1,1,2
3400,0,6,45,1,7,1,0,3,1,2
3401,0,2,19,0,9,0,0,1,1,2
3402,0,1,9,1,9,0,0,1,0,0
3403,1,5,37,0,7,0,0,2,0,2
3404,0,7,56,1,8,0,0,4,1,2
3405,1,1,9,1,9,0,0,1,0,2
3406,0,4,16,0,4,0,0,1,0,2
3407,0,3,21,1,7,1,0,1,0,2
3408,0,1,7,0,7,0,0,0,0,2
3409,0,2,14,0,7,0,0,1,0,2
3410,0,2,19,0,9,0,0,1,1,2
3411,0,2,15,0,7,0,0,1,0,2
3412,1,2,16,1,8,0,0,1,1,2
3413,0,2,9,0,4,0,0,1,0,3
3414,0,2,11,0,5,0,0,1,0,3
3415,0,1,5,1,5,0,0,1,1,2
3416,0,2,13,0,6,0,0,0,0,0
3417,0,2,11,0,5,1,0,0,1,2
3418,0,1,15,1,15,0,0,1,0,2
3419,0,1,15,1,15,0,0,3,0,2
3420,0,2,14,0,7,1,0,1,0,2
3421,0,1,12,0,12,0,0,0,0,2
3422,0,1,10,0,10,0,6,1,0,2
3423,0,3,20,0,6,0,12,3,0,2
3424,1,2,16,0,8,0,0,0,1,0
3425,1,3,14,1,4,1,0,1,1,2
3426,0,1,2,0,2,0,2,0,0,3
3427,0,1,2,0,2,1,0,0,0,1
3428,0,2,10,0,5,0,4,0,0,2
3429,1,4,25,0,6,0,1,1,1,2
3430,0,12,72,0,6,3,8,4,0,3
3431,0,12,76,0,6,2,0,3,0,3
3432,0,4,30,1,7,2,16,5,0,1
3433,0,11,71,0,6,2,2,1,1,3
3434,0,6,48,1,8,2,16,6,0,2
3435,1,2,15,0,7,0,0,0,1,0
3436,1,2,18,0,9,0,0,0,1,0
3437,0,6,36,0,6,1,0,0,1,2
3438,0,8,35,0,4,0,2,1,0,2
3439,0,2,10,0,5,0,0,1,0,3
3440,0,2,9,0,4,0,0,1,0,3
3441,0,7,33,0,4,0,3,1,0,2
3442,0,2,14,0,7,0,0,1,0,3
3443,0,7,27,0,3,0,2,1,0,2
3444,0,2,12,0,6,0,0,1,0,3
3445,0,3,17,0,5,0,0,1,0,3
3446,0,2,15,0,7,0,0,1,0,2
3447,0,2,11,0,5,1,0,0,1,1
3448,0,4,19,0,4,0,1,1,0,3
3449,0,2,9,0,4,0,0,1,0,3
3450,0,7,33,0,4,0,2,1,0,2
3451,0,2,9,0,4,0,0,1,0,3
3452,0,7,31,0,4,0,2,1,0,2
3453,0,2,9,0,4,0,0,1,0,3
3454,0,7,30,0,4,0,2,1,0,3
3455,0,2,10,0,5,0,0,1,0,3
3456,0,2,9,0,4,0,0,1,0,3
3457,0,2,14,0,7,0,0,1,0,3
3458,0,7,29,0,4,0,2,1,0,3
3459,0,2,10,0,5,0,0,1,0,3
3460,0,2,9,0,4,0,0,1,0,3
3461,0,2,14,0,7,0,0,1,0,3
3462,1,4,24,0,6,0,1,2,1,3
3463,0,5,48,0,9,0,0,2,0,2
3464,0,3,12,0,4,0,1,1,0,2
3465,0,3,18,0,6,0,1,1,0,2
3466,0,3,24,0,8,0,0,3,0,2
3467,0,2,14,0,7,0,0,1,0,2
3468,0,3,26,0,8,0,0,2,0,2
3469,1,6,39,0,6,0,1,2,1,3
3470,0,5,48,0,9,0,0,2,0,2
3471,0,3,12,0,4,0,1,1,0,2
3472,0,3,18,0,6,0,1,1,0,2
3473,0,3,24,0,8,0,0,3,0,2
3474,0,2,14,0,7,0,0,1,0,2
3475,0,3,26,0,8,0,0,2,0,2
3476,1,6,40,0,6,0,1,2,1,3
3477,0,5,47,0,9,0,0,2,0,2
3478,0,3,12,0,4,0,1,1,0,2
3479,0,3,18,0,6,0,1,1,0,2
3480,0,2,29,0,14,0,0,4,0,2
3481,0,2,14,0,7,0,0,1,0,2
3482,0,3,27,0,9,0,0,2,0,2
3483,1,4,27,0,6,0,1,2,1,3
3484,0,5,43,0,8,0,0,2,0,2
3485,0,3,12,0,4,0,1,1,0,2
3486,0,3,18,0,6,0,1,1,0,2
3487,0,3,24,0,8,0,0,3,0,2
3488,0,2,14,0,7,0,0,1,0,2
3489,0,4,31,0,7,0,0,2,0,2
3490,0,2,16,0,8,0,0,0,0,2
3491,1,5,39,0,7,0,1,2,1,3
3492,0,5,43,0,8,0,0,2,0,2
3493,0,3,12,0,4,0,1,1,0,2
3494,0,2,15,0,7,0,0,1,0,2
3495,0,3,24,0,8,0,0,3,0,2
